, ,"Alexandria, VA","Alpharetta, GA","Antioch, CA","Arlington Heights, IL","Aurora, CO","Baton Rouge, LA","Bellevue, WA","Billings, MT","Blue Springs, MO","Bowling Green, KY","Broken Arrow, OK","Buena Park, CA","Camden, NJ","Carson, CA","Cedar Hill, TX","Charleston, SC","Chicago, IL","City of Sammamish, WA","Collierville, TN","Compton, CA","Corona, NY","Cypress, CA","Dayton, OH","Delray Beach, FL","Downers Grove, IL","East Brunswick, NJ","East Norwalk, CT","Edmond, OK","Elmhurst, IL","Euless, TX","Fayetteville, NC","Florin, CA","Fort Smith, AR","Fresno, CA","Gastonia, NC","Goodyear, AZ","Green Bay, WI","Hamilton, OH","Haverhill, MA","Highland, CA","Huntersville, NC","Iowa City, IA","Jacksonville, FL","Joplin, MO","Kennewick, WA","Kissimmee, FL","Laguna Niguel, CA","Lakewood, NJ","Lawrence, KS","Lenexa, KS","Livermore, CA","Loveland, CO","Malden, MA","Marietta, GA","Melbourne, FL","Metairie Terrace, LA","Millcreek, UT","Mission Viejo, CA","Moreno Valley, CA","Nampa, ID","New Haven, CT","Noblesville, IN","North Miami, FL","Oak Lawn, IL","Omaha, NE","Ozone Park, NY","Paradise, NV","Paterson, NJ","Perth Amboy, NJ","Pittsburg, CA","Pomona, CA","Portland, ME","Racine, WI","Redmond, WA","Richmond, VA","Rock Hill, SC","Roswell, NM","Saint George, UT","San Antonio, TX","San Marcos, TX","Santa Clara, CA","Schaumburg, IL","Shreveport, LA","South Gate, CA","Sparks, NV","Springfield, OR","Stratford, CT","Tacoma, WA","Tempe Junction, AZ","Tigard, OR","Trenton, NJ","Tyler, TX","Vancouver, WA","Waldorf, MD","Waterloo, IA","West Coon Rapids, MN","West Orange, NJ","Wheaton, MD","Woodland, CA"
109,"Broken Arrow, OK",1319.17,1037.59,2077.39,701.57,696.89,663.3,2157.81,1200.54,261.01,708.71,,1708.09,1492.86,1731.35,330.73,1301.82,688.58,2153.22,476.14,1724.35,1601.98,1723.8,949.21,1480.55,677.29,1534.91,1629.67,108.33,680.59,330.21,1388.27,2099.95,106.28,1946.83,1204.97,1361.34,892.75,929.55,1853.04,1660.55,1214.64,549.67,1212.44,109.27,1952.98,1316.46,1733.12,1543.5,221.59,240.05,2064.85,749.09,1836.06,1021.26,1367.23,735.79,1332.38,1727.52,1654.6,1693.36,1665.07,910.27,1521.35,681.48,391.74,1610.64,1634.34,1569.54,1535.13,2082.47,1688.48,1931.85,777.73,2160.77,1294.86,1242.34,870.46,1697.79,719.9,535.39,2068.92,698.02,408.42,1722.71,2075.31,2209.8,1649.46,2176.57,1339.76,2109.65,1510.36,288.17,2105.6,1342.85,565.24,717.98,1565.93,1325.14,2127.28
119,"Buena Park, CA",2836.65,2347.18,387.89,2431.19,1059.13,1972.89,1308.1,1329.51,1955.91,2226.2,1707.89,,3010.35,26.97,1431.67,2611.41,2418.2,1303.51,1993.63,19.97,3119.47,5.78,2466.7,2790.14,2406.9,3052.4,3147.15,1606.37,2410.21,1412.03,2905.76,410.45,1826.27,257.34,2722.46,346.85,2622.36,2447.04,3370.53,60.91,2732.13,2419.14,2522.03,1810.6,1103.27,2626.05,37.16,3060.99,1909.32,1928.55,375.35,1086.12,3353.55,2330.85,2676.82,2045.38,683.61,35.45,53.88,906.05,3182.56,2427.76,2830.94,2405.76,2047.2,3128.13,266.56,3087.03,3052.62,392.97,24.23,3449.33,2507.34,1311.06,2812.35,2558.94,1165.81,387.53,1343.17,1372.73,379.42,2427.64,1718.0,18.34,506.7,888.99,3166.95,1140.39,372.1,990.59,3027.85,1536.66,1006.37,2860.34,2579.72,2158.44,3083.42,2842.62,437.78
129,"Camden, NJ",151.78,845.75,3343.84,964.03,2893.88,1700.88,3442.46,2251.34,1386.46,843.25,1474.65,2974.54,,2997.8,1561.94,696.57,927.98,3437.87,1098.83,2990.8,118.68,2990.24,590.21,1144.0,950.06,58.67,146.47,1836.84,953.37,1561.42,457.32,3366.4,1369.47,3213.28,634.22,2627.79,1262.39,629.28,369.85,2927.0,637.18,1128.07,847.5,1293.17,3237.63,1006.25,2999.57,58.23,1441.52,1417.43,3331.3,2945.31,352.87,867.5,1023.39,1773.37,3411.06,2993.96,2921.05,2978.01,181.87,866.93,1184.8,922.07,1373.82,127.34,2900.79,105.42,81.02,3348.91,2954.93,448.65,997.51,3445.42,249.66,623.16,2136.91,2964.24,1815.08,1766.59,3335.37,960.48,1445.99,2989.16,3341.76,3494.45,166.27,3461.22,2606.21,3394.3,33.22,1529.8,3390.25,155.42,1219.43,1417.83,94.19,135.74,3393.72
139,"Carson, CA",2860.9,2371.43,374.41,2455.44,1083.38,1997.14,1294.62,1353.76,1980.16,2250.45,1732.14,27.32,3034.6,,1455.92,2635.66,2442.45,1290.03,2017.88,9.89,3143.71,29.31,2490.95,2814.39,2431.15,3076.65,3171.4,1630.62,2434.46,1436.28,2930.01,396.97,1850.52,243.86,2746.71,371.1,2646.61,2471.28,3394.78,85.16,2756.38,2443.39,2546.28,1834.85,1089.79,2650.29,54.65,3085.24,1933.57,1952.8,361.87,1110.37,3377.8,2355.1,2701.07,2069.63,707.86,52.94,78.13,847.31,3206.8,2452.0,2855.19,2430.01,2071.45,3152.38,290.81,3111.28,3076.87,379.49,48.48,3473.58,2531.59,1297.58,2836.6,2583.19,1190.06,411.78,1367.42,1396.98,365.94,2451.89,1742.25,13.78,493.22,875.51,3191.2,1126.91,396.35,977.11,3052.1,1560.91,992.9,2884.59,2603.97,2182.7,3107.67,2866.87,424.3
149,"Cedar Hill, TX",1405.91,916.44,1811.34,1000.44,1361.38,542.14,2704.0,1914.49,555.95,795.46,315.97,1442.04,1579.6,1465.3,,1180.66,987.45,2699.41,562.88,1458.31,1688.72,1457.75,1035.95,1359.39,976.15,1621.66,1716.41,304.41,979.46,25.19,1475.01,1833.91,395.53,1680.79,1291.72,1095.29,1191.62,1016.29,1939.78,1394.51,1301.38,988.39,1091.28,404.21,2499.17,1195.3,1467.07,1630.25,607.36,535.0,1798.8,1412.81,1922.81,900.1,1246.07,614.63,1878.57,1461.47,1388.55,2239.55,1751.81,997.01,1400.2,975.01,745.25,1697.38,1368.29,1656.29,1621.87,1816.42,1422.43,2018.59,1076.59,2706.96,1381.61,1128.19,604.41,1431.74,272.96,224.48,1802.87,996.89,287.26,1456.67,1809.26,2755.99,1736.2,2722.76,1073.71,2655.84,1597.1,105.91,2651.79,1429.59,1148.97,1347.06,1652.67,1411.88,1861.23
159,"Charleston, SC",507.6,305.9,2953.77,1042.54,2503.81,842.99,3846.43,3056.93,1222.31,646.93,1248.19,2584.48,656.53,2607.74,1171.88,,1006.49,3841.85,643.61,2600.74,768.55,2600.18,697.42,554.81,1028.57,708.54,796.34,1446.77,1031.87,1171.35,210.29,2976.34,1250.52,2823.22,213.76,2237.72,1340.89,681.51,1019.71,2536.94,216.3,1206.58,258.31,1174.22,3641.6,417.06,2609.51,707.64,1425.58,1401.49,2941.24,2555.25,1002.74,327.64,434.2,859.75,3021.0,2603.9,2530.98,3381.98,831.74,838.02,595.61,1000.58,1521.01,777.21,2510.72,755.28,730.88,2958.85,2564.86,1098.52,1076.01,3849.39,408.05,188.95,1746.85,2574.17,1425.01,1376.53,2945.31,1038.99,897.85,2599.1,2951.69,3898.42,816.13,3865.19,2216.14,3798.27,688.62,994.1,3794.22,498.71,1297.93,1496.34,744.06,521.71,3003.66
169,"Chicago, IL",778.54,787.28,2904.84,37.01,1089.15,1261.88,2551.94,1360.82,489.63,454.37,685.81,2535.54,917.18,2558.8,1122.94,990.63,,2547.35,702.88,2551.8,924.97,2551.24,292.51,1414.56,27.59,899.74,927.71,1397.84,19.66,1122.42,971.72,2927.4,930.47,2774.28,788.42,2188.79,204.82,293.73,1151.08,2488.0,798.09,237.55,1118.06,583.23,2347.11,1240.69,2560.57,932.56,544.68,520.59,2892.3,1033.29,1134.1,774.73,1293.95,1334.37,1411.14,2554.96,2482.05,2087.48,963.11,179.7,1455.36,13.99,483.3,933.63,2461.79,895.66,899.95,2909.92,2515.93,1229.88,70.7,2554.89,878.31,825.79,1697.91,2525.24,1376.08,1327.6,2896.37,33.46,1006.99,2550.16,2902.76,2603.92,947.5,2570.7,2167.21,2503.77,902.6,1090.8,2499.73,799.49,328.9,527.31,893.23,759.62,2954.72
179,"City of Sammamish, WA",3244.49,3311.17,807.46,2426.33,1744.58,3631.26,15.28,1187.54,2251.17,2978.26,2385.72,1365.06,3383.13,1388.32,3090.05,3676.96,2469.45,,3652.0,1381.32,3390.91,1380.77,2758.46,4448.51,2452.36,3365.68,3393.65,2620.66,2443.9,3070.41,3658.04,777.57,3484.65,937.45,3474.74,1377.49,2314.88,2759.68,3617.02,1324.45,3484.41,2325.53,4180.4,2382.97,202.82,4284.42,1390.09,3398.51,2228.86,2239.75,830.0,1695.8,3600.05,3989.22,4335.19,3703.75,882.56,1384.49,1338.83,466.6,3429.05,2645.65,4489.32,2462.34,2090.76,3399.57,1102.49,3361.61,3365.9,808.64,1345.45,3695.83,2451.2,7.66,3564.63,3512.11,2241.14,1177.5,3001.55,3031.1,863.43,2432.53,3376.38,1379.68,844.48,296.1,3413.44,45.26,1404.1,195.31,3368.55,3195.03,177.51,3265.43,2234.67,2016.48,3359.17,3225.57,746.54
189,"Collierville, TN",942.1,363.51,2345.87,718.62,1895.91,702.91,3238.53,2449.03,471.42,331.65,476.68,1976.58,1115.79,1999.84,563.98,645.45,701.67,3233.95,,1992.84,1224.91,1992.28,572.15,933.9,694.33,1157.85,1252.6,838.87,697.64,563.45,1011.2,2368.44,371.5,2215.32,827.91,1629.82,909.8,552.48,1475.97,1929.04,837.58,775.8,665.79,382.21,3033.7,769.81,2001.61,1166.44,507.15,476.4,2333.34,1947.35,1459.0,344.8,820.58,441.39,2413.1,1996.0,1923.08,2774.08,1288.0,533.2,974.71,695.76,662.3,1233.57,1902.82,1192.48,1158.07,2350.95,1956.96,1554.78,794.77,3241.49,917.8,865.27,1138.95,1966.27,817.11,768.63,2337.41,715.07,448.03,1991.2,2343.79,3290.52,1272.39,3257.29,1608.25,3190.37,1133.3,531.84,3186.32,965.78,867.15,1065.24,1188.87,948.07,2395.76
199,"Compton, CA",2851.86,2362.39,372.98,2446.39,1074.34,1988.1,1293.19,1344.71,1971.12,2241.41,1723.1,18.28,3025.55,9.53,1446.88,2626.62,2433.4,1288.6,2008.83,,3134.67,20.26,2481.91,2805.35,2422.11,3067.61,3162.36,1621.58,2425.41,1427.24,2920.96,395.54,1841.48,242.42,2737.67,362.06,2637.57,2462.24,3385.73,76.11,2747.34,2434.35,2537.23,1825.81,1088.36,2641.25,55.91,3076.2,1924.52,1943.76,360.44,1101.33,3368.76,2346.06,2692.02,2060.58,698.82,54.2,69.09,845.87,3197.76,2442.96,2846.15,2420.97,2062.41,3143.33,281.77,3102.24,3067.83,378.05,39.44,3464.54,2522.54,1296.14,2827.56,2574.14,1181.01,402.74,1358.38,1387.93,364.51,2442.84,1733.21,5.45,491.78,874.08,3182.15,1125.47,387.31,975.68,3043.06,1551.86,991.46,2875.54,2594.93,2173.65,3098.63,2857.83,422.86
