, ,"Alexandria, VA","Alpharetta, GA","Antioch, CA","Arlington Heights, IL","Aurora, CO","Baton Rouge, LA","Bellevue, WA","Billings, MT","Blue Springs, MO","Bowling Green, KY","Broken Arrow, OK","Buena Park, CA","Camden, NJ","Carson, CA","Cedar Hill, TX","Charleston, SC","Chicago, IL","City of Sammamish, WA","Collierville, TN","Compton, CA","Corona, NY","Cypress, CA","Dayton, OH","Delray Beach, FL","Downers Grove, IL","East Brunswick, NJ","East Norwalk, CT","Edmond, OK","Elmhurst, IL","Euless, TX","Fayetteville, NC","Florin, CA","Fort Smith, AR","Fresno, CA","Gastonia, NC","Goodyear, AZ","Green Bay, WI","Hamilton, OH","Haverhill, MA","Highland, CA","Huntersville, NC","Iowa City, IA","Jacksonville, FL","Joplin, MO","Kennewick, WA","Kissimmee, FL","Laguna Niguel, CA","Lakewood, NJ","Lawrence, KS","Lenexa, KS","Livermore, CA","Loveland, CO","Malden, MA","Marietta, GA","Melbourne, FL","Metairie Terrace, LA","Millcreek, UT","Mission Viejo, CA","Moreno Valley, CA","Nampa, ID","New Haven, CT","Noblesville, IN","North Miami, FL","Oak Lawn, IL","Omaha, NE","Ozone Park, NY","Paradise, NV","Paterson, NJ","Perth Amboy, NJ","Pittsburg, CA","Pomona, CA","Portland, ME","Racine, WI","Redmond, WA","Richmond, VA","Rock Hill, SC","Roswell, NM","Saint George, UT","San Antonio, TX","San Marcos, TX","Santa Clara, CA","Schaumburg, IL","Shreveport, LA","South Gate, CA","Sparks, NV","Springfield, OR","Stratford, CT","Tacoma, WA","Tempe Junction, AZ","Tigard, OR","Trenton, NJ","Tyler, TX","Vancouver, WA","Waldorf, MD","Waterloo, IA","West Coon Rapids, MN","West Orange, NJ","Wheaton, MD","Woodland, CA"
209,"Corona, NY",258.62,952.6,3465.17,958.24,3015.21,1822.21,3436.67,2245.55,1380.66,964.59,1595.98,3095.87,112.73,3119.13,1683.28,803.41,922.18,3432.08,1220.16,3112.14,,3111.58,764.81,1250.84,944.26,58.57,58.85,1958.17,947.57,1682.75,564.16,3487.74,1490.8,3334.62,741.06,2749.12,1256.59,803.88,282.22,3048.34,744.02,1122.28,954.34,1414.51,3231.84,1113.1,3120.91,83.33,1435.72,1411.63,3452.63,1918.01,265.25,974.34,1130.23,1894.7,3532.4,3115.3,3042.38,2972.21,94.25,861.13,1291.64,916.27,1368.02,10.97,3022.12,28.51,51.46,3470.25,3076.26,361.03,991.71,3439.62,356.5,730.0,2258.24,3085.57,1936.41,1887.93,3456.71,954.69,1567.33,3110.5,3463.09,3488.65,78.64,3455.43,2727.54,3388.5,93.33,1651.14,3384.46,262.27,1213.63,1412.04,44.43,242.59,3515.06
219,"Cypress, CA",2852.23,2362.76,388.77,2446.76,1074.71,1988.47,1308.98,1345.08,1971.49,2241.78,1723.47,5.75,3025.92,27.85,1447.25,2626.99,2433.77,1304.39,2009.2,20.86,3135.04,,2482.28,2805.72,2422.48,3067.98,3162.73,1621.95,2425.78,1427.61,2921.33,411.34,1841.85,258.22,2738.04,362.42,2637.94,2462.61,3386.1,76.48,2747.71,2434.72,2537.6,1826.18,1104.15,2641.62,36.14,3076.57,1924.89,1944.13,376.24,1101.7,3369.13,2346.43,2692.39,2060.95,699.19,34.44,69.46,861.67,3198.13,2443.33,2846.52,2421.34,2062.78,3143.7,282.14,3102.61,3068.2,393.85,39.81,3464.91,2522.91,1311.94,2827.93,2574.51,1181.38,403.11,1358.75,1388.3,380.31,2443.21,1733.58,19.22,507.58,889.87,3182.52,1141.27,387.68,991.47,3043.43,1552.23,1007.26,2875.91,2595.3,2174.02,3099.0,2858.2,438.66
229,"Dayton, OH",505.02,646.81,2814.48,336.08,2364.52,1171.52,2814.51,1623.39,661.08,313.9,945.29,2445.19,607.4,2468.45,1032.59,683.94,300.03,2809.92,569.47,2461.45,802.81,2460.89,,1171.54,322.11,777.58,805.55,1307.48,325.42,1032.06,612.68,2837.05,840.11,2683.93,508.9,2098.43,634.44,35.57,1028.92,2397.65,447.68,500.12,875.05,763.82,2609.68,1100.22,2470.22,810.41,716.14,692.05,2801.95,2415.96,1011.95,634.26,1050.94,1244.01,2881.71,2464.61,2391.69,2350.06,840.95,113.09,1212.35,294.12,745.87,811.47,2371.43,773.51,777.8,2819.56,2425.57,1107.73,369.56,2817.47,503.58,508.05,1607.56,2434.88,1285.72,1237.24,2806.02,332.53,916.64,2459.81,2812.4,2866.5,825.34,2833.27,2076.85,2766.35,624.9,1000.45,2762.3,525.96,591.48,789.88,771.07,486.1,2864.37
239,"Delray Beach, FL",1000.55,649.94,3131.94,1446.83,2681.98,1021.16,4024.6,3235.09,1539.89,967.22,1426.36,2762.64,1149.48,2785.9,1350.05,557.76,1410.77,4020.01,937.66,2778.91,1261.49,2778.35,1281.25,,1432.85,1201.48,1289.29,1624.94,1436.16,1349.52,703.24,3154.51,1332.46,3001.39,677.47,2415.89,1745.18,1261.59,1512.66,2715.11,690.55,1610.87,300.44,1474.42,3819.77,171.72,2787.68,1200.59,1640.23,1645.4,3119.4,2733.41,1495.69,645.13,128.6,822.89,3199.17,2782.07,2709.15,3560.15,1324.69,1242.31,43.18,1404.86,1838.59,1270.16,2688.89,1248.23,1223.83,3137.02,2743.03,1591.47,1480.3,4027.56,900.99,652.66,1925.01,2752.34,1603.18,1554.7,3123.48,1443.28,1076.02,2777.27,3129.86,4076.59,1309.08,4043.36,2394.31,3976.44,1181.57,1172.27,3972.39,991.66,1702.22,1900.63,1237.0,1014.66,3181.83
249,"Downers Grove, IL",803.77,812.5,2893.77,31.06,1078.08,1250.81,2534.8,1343.69,478.56,479.59,674.74,2524.47,942.41,2547.73,1111.87,1015.86,28.73,2530.22,691.81,2540.73,950.19,2540.18,317.73,1439.78,,924.96,952.93,1386.77,11.99,1111.35,996.94,2916.33,919.4,2763.21,813.65,2177.72,219.75,318.96,1176.3,2476.94,823.32,220.42,1143.29,572.16,2329.98,1265.91,2549.5,957.79,533.62,509.52,2881.23,1016.15,1159.33,799.95,1319.18,1323.3,1394.01,2543.9,2470.98,2070.35,988.33,204.93,1480.59,21.62,466.16,958.85,2450.72,920.89,925.18,2898.85,2504.86,1255.11,84.59,2537.76,903.54,851.01,1686.84,2514.17,1365.01,1316.53,2885.3,27.51,995.93,2539.09,2891.69,2586.79,972.72,2553.57,2156.14,2486.64,927.83,1079.74,2482.6,824.71,311.77,510.18,918.45,784.85,2943.66
259,"East Brunswick, NJ",204.16,898.13,3403.88,939.2,2953.92,1760.92,3417.62,2226.51,1361.62,903.3,1534.69,3034.58,58.26,3057.84,1621.98,748.94,903.14,3413.04,1158.87,3050.84,77.38,3050.29,745.76,1196.38,925.22,,105.17,1896.88,928.53,1621.46,509.7,3426.44,1429.51,3273.32,686.6,2687.83,1237.55,784.84,328.54,2987.05,689.56,1103.24,899.88,1353.22,3212.79,1058.63,3059.61,31.31,1416.68,1392.59,3391.34,1898.97,311.57,919.88,1075.77,1833.41,3471.1,3054.01,2981.09,2953.17,140.57,842.09,1237.18,897.23,1348.98,86.04,2960.83,64.11,26.01,3408.96,3014.97,407.35,972.67,3420.58,302.04,675.54,2196.95,3024.28,1875.12,1826.64,3395.41,935.65,1506.03,3049.2,3401.8,3469.61,124.96,3436.39,2666.25,3369.46,28.8,1589.85,3365.42,207.8,1194.59,1393.0,52.89,188.12,3453.77
269,"East Norwalk, CT",300.31,994.28,3506.86,973.65,1995.6,1863.9,3452.08,2260.96,1396.07,1006.27,1637.66,3137.56,154.42,3160.82,1724.96,845.09,937.6,3447.49,1261.84,3153.82,64.99,3153.26,780.22,1292.53,959.67,100.25,,1999.86,962.98,1724.44,605.85,3529.42,1532.48,3376.3,782.74,2790.8,1272.0,819.29,222.45,3090.02,785.71,1137.69,996.03,1456.19,3247.25,1154.78,3162.59,125.01,1451.13,1427.04,3494.32,1933.42,205.47,1016.03,1171.92,1936.38,2311.28,3156.98,3084.06,2987.62,34.48,876.54,1333.33,931.69,1383.43,81.97,3063.8,70.19,93.15,3511.93,3117.95,301.26,1007.12,3455.03,398.19,771.69,2299.93,3127.25,1978.09,1929.61,3498.39,970.1,1609.01,3152.18,3504.77,3504.06,18.87,3470.84,2769.23,3403.91,135.02,1692.82,3399.87,303.95,1229.04,1427.45,86.11,284.27,3556.74
279,"Edmond, OK",1680.93,1191.46,1975.55,803.77,713.35,817.17,2055.97,1266.46,349.37,1070.48,108.76,1606.25,1854.63,1629.51,305.98,1455.69,790.78,2051.38,837.9,1622.51,1963.74,1621.95,1310.98,1634.42,779.49,1896.68,1991.43,,782.79,275.7,1750.04,1998.11,200.35,1844.99,1566.74,1259.49,994.95,1291.31,2214.81,1558.71,1576.41,632.82,1366.31,211.46,1851.14,1470.32,1631.28,1905.27,302.78,322.01,1963.01,764.78,2197.83,1175.13,1521.1,889.66,1230.53,1625.67,1552.75,1591.51,2026.83,1272.03,1675.22,783.68,440.66,1972.41,1532.49,1931.31,1896.9,1980.62,1586.64,2293.61,879.92,2058.92,1656.63,1403.22,768.62,1595.94,618.06,507.46,1967.08,800.22,562.28,1620.87,1973.46,2107.95,2011.22,2074.73,1237.92,2007.8,1872.13,410.97,2003.76,1704.61,648.38,801.65,1927.7,1686.9,2025.43
289,"Elmhurst, IL",804.75,813.48,2899.93,19.39,1084.24,1256.97,2540.96,1349.85,484.72,480.57,680.9,2530.63,943.39,2553.89,1118.03,1016.84,29.71,2536.38,697.97,2546.89,951.17,2546.34,318.71,1440.76,12.62,925.94,953.91,1392.93,,1117.51,997.92,2922.49,925.56,2769.37,814.63,2183.88,208.08,319.94,1177.28,2483.1,824.29,226.58,1144.26,578.32,2336.13,1266.89,2555.66,958.76,539.77,515.68,2887.39,1022.31,1160.31,800.93,1320.15,1329.46,1400.17,2550.06,2477.14,2076.51,989.31,205.9,1481.56,22.6,472.32,959.83,2456.88,921.86,926.16,2905.01,2511.02,1256.09,72.93,2543.92,904.51,851.99,1693.0,2520.33,1371.17,1322.69,2891.46,15.84,1002.08,2545.25,2897.85,2592.95,973.7,2559.73,2162.3,2492.8,928.8,1085.89,2488.76,825.69,317.93,516.34,919.43,785.82,2949.82
299,"Euless, TX",1405.28,915.81,1783.08,999.82,1333.12,541.52,2675.74,1886.23,555.33,794.83,315.34,1413.78,1578.98,1437.04,24.71,1180.04,986.83,2671.15,562.26,1430.04,1688.1,1429.49,1035.33,1358.77,975.53,1621.03,1715.78,276.08,978.84,,1474.39,1805.65,394.9,1652.53,1291.09,1067.03,1190.99,1015.66,1939.16,1366.25,1300.76,987.77,1090.66,403.59,2470.91,1194.67,1438.81,1629.62,579.03,534.38,1770.54,1384.55,1922.18,899.48,1245.45,614.01,1850.31,1433.21,1360.29,2211.29,1751.18,996.39,1399.57,974.39,716.92,1696.76,1340.03,1655.66,1621.25,1788.16,1394.17,2017.96,1075.97,2678.7,1380.98,1127.57,576.15,1403.48,425.59,238.99,1774.61,996.27,286.63,1428.41,1781.0,2727.72,1735.58,2694.5,1045.45,2627.58,1596.48,142.5,2623.53,1428.97,1148.35,1346.44,1652.05,1411.25,1832.97
309,"Fayetteville, NC",310.4,400.62,3268.76,1037.11,2818.8,966.03,4161.42,2324.43,1266.18,768.17,1399.57,2899.46,459.32,2922.72,1486.86,209.42,1001.06,4156.83,1023.75,2915.72,571.34,2915.16,624.38,698.87,1023.14,511.33,599.13,1761.76,1026.45,1486.34,,3291.32,1294.39,3138.2,189.09,2552.7,1335.47,643.84,822.5,2851.92,192.05,1201.16,402.37,1218.09,3956.59,561.12,2924.49,510.43,1469.68,1445.59,3256.22,2870.23,805.53,422.37,578.26,982.78,3335.98,2918.88,2845.97,3696.96,634.53,832.6,739.67,995.15,1446.9,580.0,2825.71,558.07,533.68,3273.83,2879.85,901.31,1070.59,4164.37,210.84,178.03,2061.83,2889.15,1740.0,1691.51,3260.29,1033.56,1370.91,2914.08,3266.68,4213.4,618.92,4180.18,2531.13,4113.25,491.41,1454.72,4109.21,301.5,1292.51,1490.91,546.85,324.51,3318.64
319,"Florin, CA",3229.79,2740.32,58.24,2824.32,1145.9,2366.02,772.4,1179.33,2349.05,2619.34,2101.02,407.87,3403.48,397.11,1824.81,3004.54,2811.33,781.39,2386.76,396.19,3512.6,409.86,2859.84,3183.27,2800.03,3445.54,3540.29,1999.5,2803.34,1805.17,3298.89,,2219.41,162.35,3115.6,739.98,2306.67,2840.17,3763.66,454.04,3125.26,2317.32,2915.16,2203.73,786.58,3019.18,445.5,3454.13,2302.45,2321.69,84.58,1172.9,3746.69,2723.98,3069.95,2438.51,658.22,443.8,447.02,544.1,3575.69,2820.89,3224.08,2798.89,2082.55,3521.26,577.1,3480.17,3445.76,63.32,417.37,3842.47,2900.47,778.91,3205.49,2952.07,1558.94,672.8,1736.31,1765.86,124.39,2820.77,2111.14,390.39,141.76,487.07,3560.08,738.46,765.23,588.66,3420.98,1929.79,604.45,3253.47,2226.45,2008.27,3476.55,3235.76,35.85
329,"Fort Smith, AR",1212.89,935.35,2167.98,807.42,1718.02,525.08,3060.64,2271.13,283.89,602.44,105.18,1798.68,1386.58,1821.94,386.09,1300.91,794.43,3056.05,369.86,1814.95,1495.7,1814.39,842.94,1342.33,783.13,1428.64,1523.39,199.31,786.44,385.56,1281.99,2190.55,,2037.43,1098.7,1451.93,998.6,823.27,1746.76,1751.15,1108.36,558.15,1074.22,145.63,2855.81,1178.24,1823.71,1437.23,308.43,282.53,2155.44,1769.45,1729.79,713.86,1229.01,597.57,2235.21,1818.11,1745.19,2596.19,1558.79,803.99,1383.14,781.99,476.15,1504.36,1724.93,1463.27,1428.86,2173.06,1779.07,1825.57,883.57,3063.6,1188.59,1136.06,961.05,1788.38,639.22,590.74,2159.51,803.87,270.2,1813.31,2165.9,3112.63,1543.18,3079.4,1430.35,3012.48,1404.08,354.01,3008.43,1236.57,600.42,753.16,1459.65,1218.86,2217.87
339,"Fresno, CA",3076.21,2586.74,154.34,2670.74,1196.99,2212.44,932.58,1339.5,2195.47,2465.76,1947.45,254.29,3249.9,243.53,1671.23,2850.96,2657.75,941.56,2233.18,242.62,3359.02,256.28,2706.26,3029.69,2646.45,3291.96,3386.71,1845.92,2649.76,1651.59,3145.31,161.85,2065.83,,2962.02,586.4,2861.92,2686.59,3610.08,300.46,2971.68,2658.69,2761.58,2050.15,946.76,2865.6,291.92,3300.55,2148.87,2168.11,151.27,1223.98,3593.11,2570.4,2916.37,2284.93,821.47,290.22,293.44,704.27,3422.11,2667.31,3070.5,2645.32,2286.76,3367.68,404.42,3326.59,3292.18,159.41,263.79,3688.89,2746.89,939.08,3051.91,2798.49,1405.36,525.39,1582.73,1612.28,154.48,2667.19,1957.56,236.81,301.93,647.24,3406.5,898.64,611.65,748.84,3267.41,1776.21,764.62,3099.89,2819.27,2168.44,3322.98,3082.18,196.03
349,"Gastonia, NC",487.87,210.77,2886.96,841.21,2436.99,776.18,3779.61,2128.52,1020.98,445.6,1154.37,2517.66,636.79,2540.92,1105.06,211.8,805.16,3775.03,778.55,2533.92,748.81,2533.36,496.29,672.97,827.24,688.8,776.6,1379.96,830.55,1104.53,190.55,2909.52,1049.19,2756.4,,2170.9,1139.57,480.18,999.97,2470.12,29.96,1005.25,376.48,972.89,3574.78,535.23,2542.69,687.9,1224.25,1200.16,2874.42,2488.43,983.0,232.52,552.37,792.93,2954.18,2537.08,2464.16,3315.16,812.0,636.69,713.78,799.25,1319.68,757.47,2443.9,735.54,711.15,2892.03,2498.04,1078.78,874.69,3782.57,388.31,35.64,1680.03,2507.35,1358.19,1309.71,2878.49,837.66,831.03,2532.28,2884.87,3831.6,796.39,3798.38,2149.33,3731.45,668.88,927.29,3727.41,478.97,1096.61,1295.01,724.32,501.97,2936.84
359,"Goodyear, AZ",2489.87,2000.39,716.19,2084.4,1069.88,1626.1,1383.04,1309.81,1609.13,1879.41,1361.1,346.89,2663.56,370.15,1084.88,2264.62,2071.41,1378.46,1646.84,363.15,2772.68,362.59,2119.91,2443.35,2060.11,2705.61,2800.37,1259.58,2063.42,1065.25,2558.97,738.75,1479.48,585.63,2375.67,,2275.57,2100.25,3023.74,299.35,2385.34,2072.35,2175.24,1463.81,1178.21,2279.26,371.92,2714.2,1562.53,1581.76,703.65,1121.32,3006.76,1984.06,2330.03,1698.59,663.91,366.31,293.39,918.59,2835.77,2080.97,2484.15,2058.97,1700.42,2781.34,283.82,2740.24,2705.83,721.26,327.28,3102.54,2160.55,1386.0,2465.56,2212.15,819.02,400.07,996.38,1025.94,707.72,2080.85,1371.22,361.51,724.79,1217.29,2820.16,1401.81,26.81,1334.88,2681.06,1189.87,1330.84,2513.55,2232.93,2431.02,2736.63,2495.83,766.07
369,"Green Bay, WI",982.45,1154.41,3103.89,191.46,1288.2,1460.93,2331.4,1140.29,688.67,821.49,884.86,2734.59,1121.09,2757.85,1321.99,1520.19,205.08,2326.82,901.92,2750.85,1128.87,2750.29,496.42,1781.69,217.5,1103.64,1131.61,1596.89,209.04,1321.47,1501.28,3126.45,1129.51,2973.33,1317.98,2387.83,,497.64,1354.99,2687.05,1327.65,409.84,1485.19,782.28,2126.57,1607.81,2759.62,1136.47,743.73,719.64,3091.35,1205.57,1338.01,1141.85,1661.08,1533.41,1787.19,2754.01,2681.09,1866.95,1167.01,383.61,1822.49,227.48,655.58,1137.54,2660.83,1099.57,1103.86,3108.96,2714.98,1433.79,140.67,2334.36,1407.87,1355.34,1896.96,2724.28,1575.12,1526.64,3095.42,197.66,1206.04,2749.21,2176.72,2383.39,1151.4,2350.16,2366.26,2283.24,1106.51,1289.85,2279.2,1003.4,380.26,306.78,1097.14,963.53,3153.77
379,"Hamilton, OH",540.5,627.1,2794.77,336.94,2344.81,1151.81,2815.37,1624.26,626.09,294.18,925.58,2425.47,642.88,2448.73,1012.87,691.96,300.89,2810.79,549.76,2441.73,838.29,2441.17,35.54,1152.41,322.97,813.06,841.03,1287.77,326.28,1012.35,673.05,2817.33,820.4,2664.21,489.75,2078.72,635.3,,1064.4,2377.93,499.42,500.99,855.92,744.1,2610.54,1080.5,2450.5,845.89,681.15,657.06,2782.23,2396.24,1047.43,614.54,1031.81,1224.3,2861.99,2444.89,2371.98,2350.92,876.43,127.35,1193.22,294.98,746.73,846.96,2351.72,808.99,813.28,2799.84,2405.86,1143.21,370.42,2818.33,523.36,527.11,1587.84,2415.17,1266.01,1217.52,2786.3,333.4,896.92,2440.09,2792.69,2867.36,860.82,2834.14,2057.14,2767.21,660.39,980.73,2763.17,561.44,592.34,790.74,806.56,521.58,2844.65
389,"Haverhill, MA",523.07,1217.05,3729.62,1196.42,2218.37,2086.66,3674.84,2483.73,1618.84,1229.04,1860.43,3360.33,377.18,3383.59,1947.73,1067.86,1160.36,3670.26,1484.61,3376.59,287.76,3376.03,1002.99,1515.29,1182.44,323.02,226.26,2222.62,1185.75,1947.2,828.62,3752.19,1755.25,3599.07,1005.51,3013.57,1494.77,1042.06,,3312.79,1008.48,1360.46,1218.8,1678.96,3470.01,1377.55,3385.36,347.78,1673.9,1649.81,3717.09,2156.19,30.79,1238.79,1394.69,2159.15,2534.05,3379.75,3306.83,3210.39,195.6,1099.31,1556.1,1154.45,1606.2,304.74,3286.57,292.96,315.92,3734.7,3340.71,79.37,1229.89,3677.8,620.95,994.46,2522.7,3350.02,2200.86,2152.38,3721.16,1192.87,1831.78,3374.95,3727.54,3726.83,207.31,3693.61,2992.0,3626.68,357.78,1915.59,3622.64,526.72,1451.81,1650.22,308.88,507.04,3779.51
399,"Highland, CA",2809.6,2320.12,431.78,2404.13,1018.47,1945.83,1329.84,1288.84,1928.86,2199.14,1680.83,62.48,2983.29,85.74,1404.61,2584.35,2391.14,1325.26,1966.57,78.74,3092.41,78.19,2439.64,2763.08,2379.84,3025.35,3120.1,1579.31,2383.15,1384.98,2878.7,454.34,1799.22,301.23,2695.4,319.79,2595.31,2419.98,3343.47,,2705.07,2392.08,2494.97,1783.54,1125.01,2598.99,87.51,3033.93,1882.26,1901.5,419.24,1045.46,3326.49,2303.79,2649.76,2018.32,642.94,81.91,26.83,865.39,3155.5,2400.7,2803.88,2378.7,2020.15,3101.07,225.9,3059.98,3025.56,436.86,42.87,3422.28,2480.28,1332.8,2785.29,2531.88,1138.75,346.86,1316.12,1345.67,423.31,2400.58,1690.95,77.11,456.8,932.88,3139.89,1348.61,345.04,1034.48,3000.79,1509.6,1050.26,2833.28,2552.66,2117.78,3056.36,2815.57,481.67
409,"Huntersville, NC",481.35,240.16,3032.61,850.26,2582.65,805.56,3925.27,2137.57,1030.03,454.65,1163.42,2663.31,630.28,2686.57,1250.71,225.65,814.21,3920.68,787.6,2679.57,742.3,2679.01,458.3,686.83,836.29,682.29,770.09,1525.61,839.59,1250.19,184.04,3055.17,1058.24,2902.05,29.39,2316.55,1148.61,489.23,993.46,2615.77,,1014.3,390.33,981.94,3720.44,549.08,2688.34,681.39,1233.3,1209.21,3020.07,2634.08,976.49,261.91,566.22,822.32,3099.83,2682.73,2609.82,3460.81,805.49,645.74,727.63,808.3,1328.73,750.96,2589.56,729.03,704.63,3037.68,2643.7,1072.27,883.73,3928.22,381.8,43.12,1825.68,2653.0,1503.85,1455.36,3024.14,846.71,1134.76,2677.93,3030.53,3977.25,789.88,3944.03,2294.98,3877.1,662.37,1218.57,3873.06,472.46,1105.66,1304.06,717.81,495.46,3082.49
419,"Iowa City, IA",1302.69,1024.92,2974.4,254.06,793.63,1331.44,2349.21,1158.1,303.27,692.01,550.23,2605.1,1243.1,2628.36,1192.5,1390.7,329.42,2344.63,772.44,2621.36,1250.88,2620.8,630.04,1652.2,198.34,1225.65,1253.62,633.16,243.03,1191.98,1371.79,2996.96,1000.03,2843.84,1188.49,2258.35,419.92,595.09,1476.99,2557.56,1198.16,,1355.7,455.86,2144.38,1478.32,2630.13,1258.47,336.17,312.08,2961.86,807.06,1460.02,1012.36,1531.59,1403.93,1184.91,2624.52,2551.61,1884.76,1289.02,394.43,1693.0,322.31,257.07,1259.54,2531.35,1221.57,1225.87,2979.47,2585.49,1555.8,304.89,2352.17,1278.38,1225.86,1767.47,1447.82,1445.64,1397.15,2965.93,258.75,1076.55,2619.72,1779.41,2401.2,1273.41,2367.97,2236.77,2301.05,1228.52,1160.36,2297.0,1326.37,81.86,321.1,1219.14,974.35,3024.28
429,"Jacksonville, FL",701.29,350.68,2861.05,1147.57,2411.08,750.27,3753.7,2964.2,1240.63,667.96,1155.46,2491.75,850.22,2515.01,1079.15,258.51,1111.52,3749.12,666.1,2508.01,962.23,2507.45,981.99,296.88,1133.59,902.22,990.03,1354.05,1136.9,1078.62,403.98,2883.61,1061.56,2730.49,378.21,2144.99,1445.92,962.33,1213.4,2444.21,391.29,1311.61,,1203.52,3548.87,159.13,2516.78,901.33,1443.9,1419.81,2848.51,2462.52,1196.43,345.87,176.27,551.94,2928.27,2511.17,2438.25,3289.25,1025.43,943.05,337.68,1105.61,1539.33,970.9,2417.99,948.97,924.57,2866.12,2472.13,1292.21,1181.04,3756.66,601.74,353.4,1654.12,2481.44,1332.28,1283.8,2852.58,1144.02,805.12,2506.37,2858.96,3805.69,1009.82,3772.47,2123.42,3705.54,882.31,901.38,3701.5,692.4,1402.96,1601.37,937.74,715.4,2910.93
439,"Joplin, MO",1137.87,860.33,2179.96,599.05,696.48,750.92,2050.22,1200.13,145.62,527.42,109.01,1810.67,1311.56,1833.93,418.35,1225.89,586.06,2045.63,495.11,1826.93,1420.68,1826.37,767.91,1568.17,574.77,1353.62,1448.37,210.9,578.07,417.82,1206.97,2202.53,145.0,2049.41,1023.68,1463.91,790.23,748.25,1671.74,1763.13,1033.34,454.87,1300.05,,1845.39,1404.07,1835.7,1362.21,171.15,145.25,2167.43,748.68,1654.77,847.77,1454.85,823.41,1224.78,1830.09,1757.17,1585.76,1483.77,651.84,1608.97,578.96,338.87,1429.34,1736.91,1388.25,1353.83,2185.04,1791.05,1750.55,675.2,2053.17,1113.56,1061.04,973.04,1800.36,822.48,623.0,2171.5,595.5,496.03,1825.29,2177.88,2102.2,1468.16,2068.98,1442.33,2002.05,1329.06,375.79,1998.01,1161.55,470.44,623.18,1384.63,1143.84,2229.85
449,"Kennewick, WA",3045.84,3112.52,838.59,2227.68,1545.93,3432.62,208.88,988.89,2052.52,2779.61,2187.07,1166.42,3184.48,1189.67,2891.4,3478.31,2270.8,204.3,3453.35,1182.68,3192.26,1182.12,2559.81,4249.87,2253.72,3167.03,3195.01,2422.01,2245.25,2871.76,3459.39,787.49,3286.0,947.37,3276.1,1178.84,2116.23,2561.03,3418.38,1125.81,3285.76,2126.88,3981.76,2184.32,,4085.77,1191.45,3199.86,2030.21,2041.1,864.93,1497.15,3401.4,3790.58,4136.55,3505.11,683.91,1185.84,1140.18,267.95,3230.41,2447.0,4290.67,2263.7,1892.12,3200.93,903.85,3162.96,3167.25,843.66,1146.8,3497.18,2252.55,211.84,3365.99,3313.46,2042.5,978.85,2802.9,2832.46,911.22,2233.88,3177.73,1181.04,645.83,316.83,3214.8,227.65,1205.45,216.68,3169.9,2996.39,212.64,3066.79,2036.02,1817.83,3160.53,3026.92,798.48
459,"Kissimmee, FL",858.72,473.0,2965.12,1269.89,2515.16,854.34,3857.78,3068.27,1362.95,790.28,1259.54,2595.82,1007.65,2619.08,1183.22,415.93,1233.84,3853.19,770.84,2612.08,1119.66,2611.53,1104.31,169.4,1255.91,1059.65,1147.45,1458.12,1259.22,1182.7,561.41,2987.68,1165.64,2834.56,535.64,2249.07,1568.24,1084.65,1370.83,2548.29,548.72,1433.93,158.6,1307.6,3652.95,,2620.85,1058.75,1473.41,1478.57,2952.58,2566.59,1353.85,468.19,55.31,656.06,3032.34,2615.25,2542.33,3393.32,1182.86,1065.37,210.2,1227.93,1661.65,1128.32,2522.07,1106.4,1082.0,2970.2,2576.21,1449.63,1303.36,3860.73,759.16,510.83,1758.19,2585.52,1436.36,1387.88,2956.65,1266.34,909.19,2610.44,2963.04,3909.76,1167.25,3876.54,2227.49,3809.62,1039.74,1005.45,3805.57,849.83,1525.28,1723.69,1095.17,872.83,3015.01
469,"Laguna Niguel, CA",2867.12,2377.65,418.77,2461.66,1089.6,2003.36,1400.98,1359.98,1986.38,2256.67,1738.36,32.63,3040.82,57.86,1462.14,2641.88,2448.67,1396.39,2024.1,50.86,3149.94,37.17,2497.17,2820.61,2437.37,3082.87,3177.62,1636.84,2440.68,1442.5,2936.23,441.34,1856.74,288.22,2752.93,377.32,2652.83,2477.5,3401.0,91.38,2762.6,2449.61,2552.5,1841.07,1196.15,2656.51,,3091.46,1939.79,1959.02,406.24,1116.59,3384.02,2361.32,2707.29,2075.85,714.08,7.21,84.35,936.52,3213.02,2458.23,2861.41,2436.23,2077.67,3158.6,297.03,3117.5,3083.09,423.85,54.69,3479.8,2537.81,1403.94,2842.82,2589.41,1196.28,418.0,1373.64,1403.2,410.31,2458.11,1748.47,49.22,537.58,919.87,3197.42,1171.27,402.57,1021.47,3058.32,1567.13,1037.26,2890.81,2610.19,2188.92,3113.89,2873.09,468.66
